offset,s0,s1,s2,s3,s4
0,48427,48427,48427,48427,48427
1,48427,48427,47205,46712,46201
2,48420,47201,46557,47544,46450
3,45714,48425,47480,46679,47002
4,42245,45797,48429,47084,47398
5,42238,42387,47799,47802,47912
6,41514,42243,45796,48427,47175
7,41386,42171,42917,48434,47100
8,41386,41386,42723,48346,46757
9,41386,41386,42438,47496,46523
