offset,s0,s1,s2,s3,s4
0,48427,48427,48427,48427,48427
1,48427,48427,48427,48427,48427
2,48429,48424,48427,48427,48427
3,45798,48424,48427,48427,48427
4,43151,46357,48431,48427,48427
5,42343,44469,48423,48427,48427
6,41907,43878,45816,48427,48427
7,41386,43329,44969,48429,47940
8,42054,43095,44864,48429,47446
9,43052,43312,44676,48039,47427
