offset,s0,s1,s2,s3,s4
0,48427,48427,48427,48427,48427
1,48424,48334,47205,46201,45455
2,48423,47104,45455,43984,43954
3,44775,46418,46397,45111,45037
4,42245,44471,47911,44413,44959
5,42171,42222,46371,46251,44841
6,41514,42243,43661,47856,44758
7,41386,42171,42242,48425,43156
8,41386,41386,42219,47874,42765
9,41386,41386,41724,46153,42612
